,Nama Pelanggan,Produk,Ulasan,Rating,label
336,Ganjar,Tingkatkan Kabinet Sepatu Kayu Minimalis / Rak Sepatu Kayu Multifungsi,kualitas produk bagus. pengiriman cepat.,5,1
337,Harry,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,"sesuai pesanan, packing aman, ga perlu rakit, cepat sampai. Recommended toko, recommended kurir",5,1
338,B***g,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"bagus, semoga awet.",5,1
339,M***d,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"desain bagus, kokoh, lipatan praktiss",5,1
340,Lukman,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"mejanya baugus, cuma pengiriman sangat lama",4,1
341,rahman,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"bagus sesuai yg ikilankan,toko nya respon,terimakasih,pengiriman nya cepat",5,1
342,Y***a,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,"sesyai ekspectasi, petunjuk perakitan cukup jelas. walaupun effort juga. 2 jam baru kelar hehehe",5,1
343,Junaidi,Rak Gantung Baju Kayu/Stand Hanger/Rak Gantungan/Rak Baju/Rak Pakaian,"bagus pas semuanya, ga perlu modif modif. 
ada cacat sedikit di rangka tapi ga papa.. overall bagus",5,1
344,Isnaini,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,bagus kokoh mudah rakitnya cakep! rekomendasi bgt ini ya,5,1
345,M***M,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"Keren barangnya, buat pasang mur pun dikasih 2 tipe obeng, jadi bener2 gk perlu nyiapin apa2, tinggal bongkar dari dus dan rakit, panduannya juga mudah",5,1
346,h***a,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"ada part yang lapuk, pelayanan penjual tidak memuaskan, part ada yang kurang",2,0
347,f***s,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"barang sesuai,",5,1
348,d***e,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,"barang bagus pemasangan mudah tapi ada lecet dikit, over all oke sih",5,1
349,n***n,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"Produk sesuai,
responsive seller dan pengiriman cepat..👍
Terimakasih 😊🙏🏻",5,1
350,Lestari,Meja Rias Putih / Meja Rias Minimalis / Dressing Table Meja Kosmetik,"Barang sesuai pesanan bagus , mksh ya responnya baik",5,1
351,Ibem,Homedoki Meja Makan Minimalis /Meja Cafe / Dining Table / Meja Belajar,dgn harga segini ya dapet kualitas seperti ini sih oke,5,1
352,R***D,Homedoki Meja TV Modern/Lemari TV/Rak TV/Meja TV Kayu/TV stand kabinet,"Kualitas barang tidak bagus, barang diterima kayu sudah terkelupas dan beberapa part kayu pinggirannya penyok. penjual tidak menerima claim pergantian barang, kapok beli...",1,0
353,Y***n,Rak Sepatu Susun Serbaguna Dengan Sofa / Rak Sepatu Scandinavian,bagus bentuknya dan lama masangnya...............,5,1
354,n***i,Meja Rias LED Minimalis / Meja Rias LED / Meja Lantai / Meja Kamar LED,good,5,1
355,n***i,Meja Makan / Meja Minum Teh Jepang / Meja Tamu lipat / Meja Lesehan,good,5,1
356,R***y,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,"barangnya bagus, tapi saya ada bagian-bagian yang tidak pas lubangnya, bukun panduan kurang komplit tata caranya dan komponen-komponennya,",3,0
357,Adi,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"honestly, barang nya bagus, cukup lega sebagai storage...hanya assembly guide nya saja tidak terlalu detail, cukup challenge jg ngerakit nya...
overall, all good

thanks...",5,1
358,v***s,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,barang cepat sampai respont penjual cepat dan ramah....Awalnya smpet bingung cr pasangnya...bgtuh belajar dr youtube cara pasangnya ternyata mudah bgt...keren dan kokoh ....,5,1
359,B***i,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,"Meja sesuai deskripsi, pengiriman lumayan cepat, recommended",5,1
360,Nata,Meja Rias / Meja rias flip-top / Meja Rias Minimalis Kaki Kayu Solid,Seller bertanggung jawab atas kekurangan item,5,1
361,D***i,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,Mudah rusak,1,0
362,D***i,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Mudah rusak,1,0
363,Ruli,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Tidak ada ulasan,5,1
364,R***h,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,sssippp mantap kokoh juga.... masangnya mudah... instruksi jelas.... recommend seller...,5,1
365,Adri,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,"Barangnya baik tidak ada yg cacat. Tapi
Customer service nya bisa lebih baik lg dan ditingkatkan",3,0
366,Ferdy,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,mudah dirakit,5,1
367,Alim,Lemari Dinding Dapur / Lemari Kabinet Dapur / Kitchen Set Minimalis,"material bagus, pengait antar papannya nilai 7 dari 10. Gantungin pake scrup langsung unitnya ke tembok, agak repot",5,1
368,MATORI,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,mejanya ok banget...sangat cocok untuk menemani anak belajar dan anak jadi betah belajar lama dengan meja tsb. pokoknya recomnded banget deh. tq,5,1
369,Ayu,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,Mejanya bagus👍😊 cukup kokoh,5,1
370,endang,Meja Console / Rak Sofa Persegi / Meja Konsol Minimalis/ Rak Corner,"alhamdulillah keren banget sesuai gambar   worth it dg harga segitu. thanks Seller, good product n service",5,1
371,p***a,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,Tidak ada ulasan,5,1
372,Abdirrasyiddin,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,"fast respon, seller ramah... rekomended",5,1
373,A***d,Rak Sepatu Susun Serbaguna Dengan Sofa / Rak Sepatu Scandinavian,pas ngerakit bnyk titik yg ga pas.,4,1
374,N***y,Lemari Dapur/ Bufet Rak/ Dapur Rak Multifungsi/ Lemari Dapur Serbaguna,"material bagus. Hanya saja stlh dipasang perabotnya agak goyang karna mungkin kakinya tdk rata. hopefully jika sdh ada barang, goyangannya berkurang.
Baut sempat ada yg k...",4,1
375,j***r,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Rakitan tdk susah. Rak lumayan bagus, sesuai harga yah. Murmer. Tks tokped dan seller...",5,1
376,Guest,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,"-respon baik. 
-pengiriman cepat. 
-sesuai pembelian/difoto.
-packing OK. 
-kualitas barang bagus/OK.
🙏👍",5,1
377,l***i,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,"pengiriman cepat, packaging oke. mohon maaf menurut saya materialnya agak kurang oke.",4,1
378,l***i,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"kursinya oke, sesuai deskripsi, pengiriman super cepat",5,1
379,Eko,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"pembelian ke dua dan langsung dua. Alhamdulillah barang diterima lengkap dan dapat dirakit seperti sebelumnya. terimakasih seller, insyaallah kalo harga masih bersaing ba...",5,1
380,S,Alarm Pintu Jendela / Smart Window & Door Sensor - Sensor Pintar Wi-Fi,Top.. Bgttt,5,1
381,Benni,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"Pengiriman cepat, kualitas material biasa aja (papan dekstop nya tipis dan kaki besi nya cenderung leyor)",3,0
382,M***d,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"Respon toko cepat begitupun proses pesanan, namun kualitas produk kurang memuaskan. Hampir semua siku rangka meja seperti di las sejadinya (seperti di gambar), sangat dis...",3,0
383,Firman,Rak Sepatu Susun Serbaguna Dengan Sofa / Rak Sepatu Scandinavian,"barang datang tepat waktu, dengan harga segitu ya masih oke lah",4,1
384,Adwin,Rak Sepatu Susun Serbaguna Dengan Sofa / Rak Sepatu Scandinavian,"Ada beberapa kurang presisi, jadi sulit dalam pemasangan... sampai ada yg harus saya potong",4,1
385,Bintang,Meja Makan / Meja Minum Teh Jepang / Meja Tamu lipat / Meja Lesehan,"kuat, tebal, kaki agak tajam sedikit tapi amanlah..",5,1
386,S***l,Meja Belajar Lipat / Meja Lipat Portable / Meja Kantor / Meja Kerja,mtp bgs skl,5,1
387,Audira,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"Kualitas kurang bagus, kursi letoy, pengiriman lama bgt. Murah si tapi ya murahan hehe",1,0
388,nidam,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,respon ok.. proses cepat.. barang bagus..,5,1
389,Audira,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"Pengiriman lama, kualitas gak bagus, meja letoy, banyak bompel pecah pecah.",1,0
390,T***i,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,ada beberapa bagian yg patah dan penyok,4,1
391,R***I,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"Barang sampai, packing rapi, cuma papan meja paling atas agak lengkung, terus lubang baut di kayu terlalu kecil murnya kegedean, jadi kalau di paksain kayunya retak harus...",4,1
392,F***a,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,bagus.,5,1
393,Adi,Lemari Kabinet / Lemari Kayu / Lemari Kecil / Lemari Multifungsi,Lemari gampang dirakit Harga oke banget,5,1
394,Andi,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"1. pengiriman cepat kalo pake ninja express, sesuai waktu yg dijanjikan
2. ada lecet dikit di pojokan
3. kurang mur untuk bautnya
4. untuk proses packing kaki atau duduka...",4,1
395,Jakarta,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,2,0
396,Zainal,Lemari Dinding Dapur / Lemari Kabinet Dapur / Kitchen Set Minimalis,Kualitas mantap packing aman dan mudah di rakit,5,1
397,M***d,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,sesuai deskripsi,5,1
398,M***d,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,sesuai deskripsi,5,1
399,Hendra,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,pengiriman dari kurirnya lama sekali. pelayanan dari penjual sangat membantu,3,0
400,J***a,Rak Sudut Besar Rak Minimalis Kayu Serbaguna Rak Buku Multifungsi,Bagus dan murah… walaupun lacinya gak ngepas masuknya 😅,5,1
401,Gabriella,Rak Sepatu Susun / Tempat Sepatu Sandal Lipat / Rak Kayu Serbaguna,"rak nya bagus hanya kurang panjang ,gak cukup buat sepatu uk 40 jadinya hanya muat 1 pasang aja.",4,1
402,Dedi,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet",sekrup dan baut tidak ada...,1,0
403,Anindia,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,"mudah dipasang
bentuknya cantik, tapi agak kecil untuk dewasa
lampu bisa nyala, tapi gak terang dan susah on off nya",4,1
404,Galih,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Saya akan mereview ini dari positif dan negatifnya.

Pertama tama, Cat pelapis nya kurang bagus dan bahan utamanya tipis jadi ada kemungkinan agak sedikit melengkung bila...",5,1
405,Aleksandr,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,"Nice and easy install, also very cheap. But table top is very vulnerable, even slight impact causes scratches and marks. Also tabletop has very sharp edges",4,1
406,A***y,Rak Buku Kayu Minimalis / Buku Rak Pajangan/ Rak Penyimpanan Buku,"Masih blm di buka dan belum di rakit.
Semoga awet",4,1
407,Audy,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,"Masih blm di buka dan belum di rakit.
Semoga awet",4,1
408,A***a,Meja Rias LED Minimalis / Meja Rias LED / Meja Lantai / Meja Kamar LED,lebih dirapikan lagi packingnya,4,1
409,Yanti,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,cukup bintang yg berbicara 😁,5,1
410,Kendra,Rak Buku Kayu / Rak Buku Laci / Rak Buku Multifungsi / Lemari Rak Buku,"mohon packingnya diperkuat..brg nyampe dalam keadaan kardus ,dan banyak yg sompel di ujung..untung ngak ada yg patah...overall brg bagus dan tidak mahal...terima kasih",5,1
411,P***i,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,"sesuaii spekk yang dimau, bahan kuat",5,1
412,Matasillaw,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,Proses cepat layanan baik kualitas produk sesuai deskripsi dan gambar,5,1
413,H***a,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,"Begitu barang sampai, dibuka pinggiran coffee table sudah hancur yang otomatis tidak dapat digunakan. Ketika complaint ke penjual ngotot barang ketika dikirim dalam keada...",1,0
414,Cecep,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"seller gercep. model nya bagus.
barang sesuai deskripsi.",5,1
415,Leonardi,Meja Ruang Tamu Meja Samping Tempat Tidur Meja Sofa Kayu Meja Nakas,barang ok sesuai order,5,1
416,Sri,Rak Mesin Cuci/Rak Serbaguna/Rak Laundry/Rak Cuci/Toilet Organizer,"blm coba fibongkar pasang,, semoga bagus dan sesuai harapan",5,1
417,Sri,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"produknya bagus, harga relatif terjangkau, packing aman, produk diterima dg baik",5,1
418,L***o,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Respon cepat .. pengiriman ok .. mudah2 an awet .. 🙏👍👍,5,1
419,A***t,Meja Kayu/ Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi,bagus. suka sekali. presisi,5,1
420,R***y,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,"Penjual sangat komunikatif dan barang telah kami rakit, selesai, siap di gunakan tanpa masalah n tanpa komplain dari saya",5,1
421,Dika,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,good quality,5,1
422,Russian,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,copot terus,2,0
423,Deni,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Pas cocok recomended, minimalis.",5,1
424,Johan,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"kurang lengkap, laci tidak ada penutup, somplak pintu depan",3,0
425,Daniel,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,Ehmm,3,0
426,myesha,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"kereeennn, pengiriman cepat, kooperatif, 2x belanja dsni",5,1
427,Raden,Lemari Dinding Dapur / Lemari Kabinet Dapur / Kitchen Set Minimalis,tolong diperbaiki ya.   mungkin toko OK.  namun dipengirimannya belum OK,1,0
428,Djoko,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,-,5,1
429,R***n,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,"terima kasih ada barangnya. 

namun lama sekali datangnya barang

beberapa ruksak",1,0
430,f***n,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,"kode buat pemasangannya cuman ada dikit yg ketempey kode jadi lama pasangnya,harus nyocokin",3,0
431,Rangga,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Bahan berkualitas,5,1
432,faris,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,lumayan lah bahannagaj tipis,5,1
433,Sindy,Rak Sudut Besar Rak Minimalis Kayu Serbaguna Rak Buku Multifungsi,"merakitnya agak susah krn instruksinya burem..jdi ada bbrp part yg terbalik pasang..
ada 1 bagian yg somplak jga,,cuma bgitu terlihat dri jauh..
hasil akhirnya bagus..
th...",4,1
434,Marcel,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"Bagian laci2 tidak sesuai, bagian laci pertama dr atas dan laci kedua hanya panjang setengah bagian saja. Lantai laci hanya dr bahan karton. Penutup bagian belakang dr ba...",1,0
435,Eko,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,material okay gan dengan harga yg kompetitif. bakalan repeat order ini mah. adminnya juga komunikatif.,5,1
436,N***a,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"barang sesuai pesanan
pengiriman cepat
packing lumayan rapih
bantalan kursi agak kotor sedikit
cara pasang / manual paper nya tidak ada.hanya andalkan dari instruksi gamb...",4,1
437,s***i,Kursi Lipat Camping /Kursi Lipat Outdoor /Portable Kursi /Bangku Lipat,sesuai barangnya,5,1
438,S***i,Rak Lemari Buku Serbaguna Rak Buku Book Shelf Multifungsi Minimalis,"Desain nya bagus, bahannya juga bagus, kapasitasnya juga menurut ku lumayan banyak.",5,1
439,S***i,Lemari Laci Kayu / Rak Laci Penyimpanan Minimalis Dapur Kayu Serbaguna,"Alhamdulillah barang sudah sampai dan bagus, namun untuk panel belakang dan triplek alas laci nya, tidak ada. Apakah bisa di kirimkan lagi untuk kekurangannya. Sofar untu...",4,1
440,Anestasya,Meja Rias / Meja rias flip-top / Meja Rias Minimalis Kaki Kayu Solid,Kaki meja rusak.. gk bisa dipasang.. gk nempel,1,0
441,Y***s,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,sensual pesanan,5,1
442,R***i,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"paket kursi sdh sampai kondisi baik, tks. seller",5,1
443,C***a,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,Bagus. Beli ke 2x nya,5,1
444,H***y,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,meja nya bagus.. kokoh..,5,1
445,Bang,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,cepat dan baik pengirimannya,5,1
446,Kim,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet",sesuai dan cepat. terima kasih.,5,1
447,Adi,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,Sesuai dengan gambar,5,1
448,s***a,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,kualitas barang nya bagus,5,1
449,Hanna,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,"materialnya bagus ya, kokoh, semoga awet, looove bgt <3",5,1
450,Rohanah,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,pengiriman nya tepat...bahan nya ok lah n cara pasangnya gampàng,5,1
451,alzevin,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,gak usah ribet2 buat kategori kalo pembeli pilih tapi dikirim tidak sesuai yang dipilih,3,0
452,Yanto,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,Tidak ada ulasan,2,0
453,C***a,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,Good,5,1
454,Star,Meja Rias Minimalis / Meja Belajar / Meja Kantor / Meja Kosmet,"Pihak Penjual sangat responsif dan nyaman, pengiriman juga aman, gambar dan produk sesuai, tapi memang ada harga ada kualitas, jadi untuk yang ingin aman perlu di amplas...",5,1
455,Star,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"Pengiriman Oke, penjual juga responsif, dan produk cukup oke dan baik untuk anak anak, warna juga baik dan tidak norak, puas dan sesuai dengan harga, terima kasih :)￼",5,1
456,J***J,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,"Kwulitasnya lumayan.. sesuai harga.
Tapi, masih ada beberapa titik screw yang tidak center/pas sehingga pemasangan tidak bisa center.",5,1
457,ayodya,Meja kerja/belajar/komputer/laptop/desktop/studi dengan kursi gratis,Pengiriman cepat dan kemasan rapi. Meja sesuai gambar. Terlihat ringkih jd hati2 dalam pemakaian. Kursi ada patah di senderan tp msh bs dipakai tp ga bs di sender lagi kw...,4,1
458,Jonathan,Meja Kantor Dengan Laci/Meja Kerja Kayu/Meja Belajar/Meja Komputer/PC,Niceee,5,1
459,Ravi,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,pengiriman cepat dan barang aman. tampilan oke,5,1
460,Candra,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet",banyak baut yang kurang,3,0
461,M,Rak Sudut Besar Rak Minimalis Kayu Serbaguna Rak Buku Multifungsi,Ada kendala saat pengiriman barang. Gagang laci tidak ada dalam paket namun sudah dikirim kembali oleh penjual. Saat pengiriman terjadi benturan yang menyebabkan ujung le...,3,0
462,E***n,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,oke banget,5,1
463,a***d,Kursi Lipat Camping /Kursi Lipat Outdoor /Portable Kursi /Bangku Lipat,.,2,0
464,P***n,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"plus: gampang menyusunnya (total 15 menit). instruksi jelas. komponen lengkap bahkan diberi ekstra. lubang-lubang yang ada presisi-nya baik, kecuali ada satu di papan ata...",5,1
465,R***a,Laci Dorong kantor/Rak Arsip Berkas Kantor/Lemari Laci/Filling Kabinet,Packing bagus. komponen ga ada yg kurang dan merakitnya cenderung mudah.,5,1
466,R***a,Meja Rias LED Minimalis / Meja Rias LED / Meja Lantai / Meja Kamar LED,Packing bagus. komponen ga ada yg kurang dan merakitnya cenderung mudah,5,1
467,Iwan,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,gampang pasangnya presisi... semoga awet,5,1
468,z***a,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"bagus, sesuai harga, waktu masang agak keribetan, soalnya penjelasan di kertas sama di video nya kurang banget, tapi udh di padang bagus, walaupun awal duduk ngeri gitu,...",5,1
469,g***a,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"beli meja sma kursi, kursi dtg waktu meja udh sampai namun orderan sudah otomatis selesai dari tokopedia. Gaada foto kursi nya soalnya yg buka karyawan kantor. Tapi kursi...",1,0
470,Pricilia,Meja Console / Rak Sofa Persegi / Meja Konsol Minimalis/ Rak Corner,"Pesanan datang langsung dirakit.... hasilnya keren👍👍👍

Pelayanan toko juara👍👍👍",5,1
471,s***n,Rak Sepatu Susun Serbaguna Dengan Sofa / Rak Sepatu Scandinavian,Seller recommended strong packaging fast respon good quality produk and satisfy. So...,5,1
472,Y***i,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,mudah dirakit... cacat sedikit but its okay overall masih mulus,5,1
473,Budiardjo,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"besar, namun ada cacat dikit, namun okelah",5,1
474,Kusuraelan,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"Kualitas sesuai dgn harganya, ngerakitnya butuh sedikit effort. Overall bagus 👍",5,1
475,Christina,Storage Box Organizer Tempat Penyimpanan Serbaguna Rumah Portable,"barangnya gak sampe ditujuan,dikomplain tidak bisa,kasih tuh bintang 7",2,0
476,E***y,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,"ptoduk oke, perakitan mudah, pengiriman cepat 👍",5,1
477,Maya,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"kereeen bgt mejanya, sesuai di gambar. cepet sampai dan fast respon.
makasih",5,1
478,David,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,HATI HATI YANG MAU BELI. KOK BISA JUAL BARANG DENGAN KUALITAS SEHANCUR INI. BARU KALI INI BELI BARANG TERUS LGSG DIBUANG,1,0
479,e***s,Rak Lemari Buku Serbaguna Rak Buku Book Shelf Multifungsi Minimalis,Tidak ada ulasan,5,1
480,iskandar,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,barang sesuai harga.....,5,1
481,radian,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,Tidak ada ulasan,5,1
482,M***d,Rak Sepatu Susun / Tempat Sepatu Sandal Lipat / Rak Kayu Serbaguna,Tidak ada ulasan,4,1
483,Y***s,Meja Rias Minimalis / Meja Belajar / Meja Kantor / Meja Kosmet,Meja rias sudah diterima dalam kondisi baik dan dirakit.,5,1
484,Y***s,Rak Mesin Cuci/Rak Serbaguna/Rak Laundry/Rak Cuci/Toilet Organizer,Rak mesin cuci sudah diterima dalam kondisi baik dan dirakit.,5,1
485,ANDI,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,Oke,5,1
486,All,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"oklah,masih jos,walaupun ada dent di pojok kanan👍",5,1
487,tava,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"Packing pake karung doang banyak lecet, pesannya hitam putih, malah datang full hitam",1,0
488,argimas,Laci Dorong kantor/Rak Arsip Berkas Kantor/Lemari Laci/Filling Kabinet,"material bagus, pengiriman aman, perakitan mudah, udah beli kesekian..",5,1
489,argimas,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,"bahan bagus, barang smpe dg aman, meski box y agak amburadul, perakitan mudah,seller fast respon",5,1
490,I***n,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"Admin fast respon, barang sesuai dengan yg ada di gambar. Saran buat buyer kalo bisa pake instant aja supaya ngurangin resiko meja rusak pas di anter kargo.

Kalau jauh m...",5,1
491,Imam,Lemari Dinding Dapur / Lemari Kabinet Dapur / Kitchen Set Minimalis,"belang, warna putihnya ga rata",3,0
492,Imam,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,baranf sudah terpasang,5,1
493,R***n,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,bahan bagus. perakitan mudah. cuma pengiriman agak lama di ekspedisi nya..  thank u seller,5,1
494,Ela,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Mksh kak walau ada yg patah,5,1
495,Rauful,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Terlambat sampai dari jadwal yang sudah ditentukan,5,1
